transaction_id,date,ticker,action,quantity,price
1,2022-09-17,PFE,SELL,294.0,223.2
2,2022-02-25,AMZN,SELL,168.0,284.82
3,2021-04-23,TGT,SELL,463.0,459.46
4,2021-02-16,PEP,BUY,482.0,70.69
5,2021-07-01,BAC,SELL,344.0,310.09
6,2022-09-21,INTC,SELL,365.0,259.81
7,2021-09-21,META,BUYY,179.0,265.47
8,2022-03-16,AVGO,SELL,259.0,373.96
9,2021-05-10,AVGO,SELL,486.0,157.84
10,2022-08-31,PYPL,BUY,-89.0,172.67
11,2021-11-09,JPM,BUY,416.0,499.7
12,2022-06-18,IBM,SELL,295.0,208.33
13,2022-08-08,UPS,SELL,44.0,432.4
14,2021-10-15,MSFT,BUY,436.0,0.0
15,2021-10-26,PYPL,SELL,494.0,253.1
16,2022-02-03,IBM,SELL,333.0,347.5
17,2021-05-04,TSLA,SELL,354.0,392.52
18,2022-02-09,IBM,SELL,85.0,247.5
19,2021-01-22,HON,BUY,82.0,337.92
20,2022-11-11,PEP,SELL,225.0,239.8
21,2022-01-31,COST,BUY,272.0,179.16
22,2022-11-11,WMT,BUY,22.0,-53.23
23,2021-02-11,PYPL,SELL,120.0,50.74
24,2021-07-16,ORCL,SELL,-268.0,128.42
25,2022-10-02,MSFT,BUY,31.0,281.26
26,2022-03-06,CSCO,BUY,20.0,194.55
27,2022-03-12,PYPL,BUY,78.0,141.98
28,2022-08-09,NFLX,SELL,499.0,304.71
29,2022-05-06,PEP,BUY,244.0,217.6
30,2021-12-23,HON,SELL,359.0,456.49
31,2021-11-17,COST,SELL,382.0,246.89
32,2022-04-11,AMD,SELL,469.0,56.36
33,2021-08-03,COST,BUY,365.0,238.42
34,2022-03-26,COST,BUY,0.0,226.33
35,2022-07-24,QCOM,BUY,236.0,238.52
36,2022-11-30,AVGO,BUY,178.0,61.86
37,2021-11-26,KO,SELL,356.0,329.35
38,2022-04-05,CSCO,BUY,277.0,466.62
39,2021-07-31,MRK,SELL,85.0,0.0
40,2022-11-14,BAC,SELL,149.0,347.51
41,2022-01-28,CSCO,SELL,317.0,299.08
42,2021-12-29,MRK,SELL,78.0,358.32
43,2021-10-16,CSCO,SELL,99.0,472.98
44,2022-12-01,GOOGL,SELL,135.0,450.2
45,2022-05-13,UPS,BUY,218.0,63.37
46,2022-05-06,META,BUY,296.0,408.33
47,2021-07-22,MSFT,BUY,108.0,349.28
48,2022-11-20,HON,SELL,166.0,144.23
49,2022-11-09,MSFT,BUY,286.0,393.29
50,2021-07-15,QCOM,BUY,472.0,60.59
51,2021-07-10,AMD,BUY,252.0,227.59
52,2021-01-31,IBM,SELL,374.0,211.09
53,2021-03-10,AMD,BUY,233.0,333.39
54,2021-04-22,IBM,SELL,174.0,103.67
55,2021-07-21,WMT,BUY,114.0,113.87
56,2022-06-24,PYPL,SELL,105.0,66.42
57,2021-01-22,CSCO,SELL,461.0,200.15
58,2021-08-22,ORCL,BUY,347.0,252.32
59,2022-10-04,ORCL,SELL,122.0,395.4
60,2021-03-03,META,SELL,252.0,260.26
61,2021-12-27,DIS,SELL,120.0,274.8
62,2021-06-25,BAC,BUY,375.0,165.62
63,2021-04-21,KO,BUYY,498.0,188.62
64,2021-03-30,AMAT,BUY,80.0,359.03
65,2022-03-04,JPM,BUY,144.0,421.4
66,2021-02-16,UPS,BUY,242.0,267.63
67,2022-01-09,GOOGL,SELL,61.0,435.43
68,2021-05-17,DIS,BUY,411.0,482.22
69,2022-01-04,MSFT,SELL,438.0,433.49
70,2022-10-30,COST,BUY,285.0,456.87
71,2021-03-21,INTC,BUY,37.0,334.45
72,2021-02-18,META,BUYY,466.0,193.19
73,2021-02-03,IBM,SELL,475.0,144.69
74,2022-09-11,INTC,SELL,244.0,128.75
75,2022-01-15,QCOM,SELL,241.0,132.32
76,2021-05-13,NVDA,BUY,358.0,483.87
77,2021-10-11,ADBE,BUY,404.0,430.81
78,2022-07-19,COST,SELL,483.0,449.17
79,2022-03-23,NVDA,SELL,29.0,100.25
80,2022-05-02,PFE,SELL,6.0,313.93
81,2021-11-20,ADBE,SELL,449.0,282.2
82,2021-06-26,JPM,BUY,433.0,269.82
83,2021-01-31,ORCL,BUY,395.0,441.74
84,2021-09-30,QCOM,BUY,50.0,338.91
85,2022-10-19,GOOGL,BUYY,9.0,245.42
86,2021-01-20,AVGO,SELL,158.0,389.87
87,2022-04-19,UPS,BUY,421.0,393.33
88,2022-09-18,QCOM,SELL,467.0,82.49
89,2021-12-23,JPM,SELL,9.0,409.98
90,2021-12-25,TGT,SELL,172.0,207.0
91,2021-12-05,COST,BUY,410.0,213.73
92,2021-07-31,GOOGL,SELL,95.0,90.94
93,2022-06-14,AMAT,BUY,306.0,466.16
94,2022-10-05,ADBE,SELL,160.0,265.16
95,2022-02-15,AMAT,BUY,429.0,428.16
96,2021-10-14,META,BUY,99.0,352.76
97,2022-08-27,AVGO,BUYY,321.0,390.93
98,2021-01-07,NVDA,BUY,51.0,370.49
99,2022-10-09,META,SELL,304.0,55.03
100,2021-07-06,PEP,BUY,263.0,242.05
101,2022-05-15,IBM,BUY,74.0,154.92
102,2021-07-17,AMD,BUY,441.0,350.05
103,2022-10-31,HON,BUY,204.0,322.63
104,2021-08-15,MSFT,SELL,438.0,341.23
105,2022-09-26,GOOGL,SELL,70.0,299.92
106,2021-03-14,INTC,BUY,263.0,51.69
107,2021-02-12,ORCL,BUY,113.0,198.03
108,2021-10-10,QCOM,SELL,220.0,185.25
109,2021-02-07,AMAT,BUY,211.0,110.88
110,2022-02-20,TGT,SELL,293.0,113.99
111,2022-08-21,KO,SELL,27.0,237.8
112,2021-01-02,AAPL,BUY,446.0,498.98
113,2022-10-14,MRK,BUY,10.0,434.81
114,2022-03-07,NFLX,SELL,386.0,411.61
115,2022-09-22,ADBE,BUY,391.0,402.11
116,2022-04-26,GOOGL,SELL,449.0,441.43
117,2022-03-17,DIS,BUY,494.0,104.03
118,2022-01-02,META,BUY,185.0,375.98
119,2021-01-31,CSCO,BUYY,76.0,92.57
120,2022-05-12,MRK,SELL,38.0,494.75
121,2021-03-05,AMD,SELL,200.0,382.1
122,2021-02-06,NVDA,SELL,485.0,197.45
123,2022-11-21,NVDA,BUY,8.0,139.23
124,2022-07-14,DIS,BUYY,220.0,454.1
125,2022-06-09,NFLX,SELL,225.0,160.22
126,2021-07-18,NVDA,SELL,365.0,79.1
127,2021-10-29,TSLA,SELL,166.0,132.85
128,2021-05-18,KO,SELL,136.0,290.18
129,2022-10-28,IBM,SELL,246.0,272.24
130,2022-01-13,AAPL,BUY,386.0,302.73
131,2021-12-01,WMT,SELL,185.0,423.73
132,2021-06-28,KO,SELL,223.0,126.38
133,2022-07-24,KO,BUY,499.0,85.01
134,2021-08-08,WMT,BUY,187.0,379.83
135,2021-06-11,CSCO,SELL,327.0,426.31
136,2021-12-17,QCOM,SELL,159.0,59.95
137,2022-03-11,AVGO,SELL,235.0,307.95
138,2022-07-30,AMAT,BUY,304.0,212.39
139,2021-02-19,PFE,SELL,232.0,434.36
140,2021-12-28,META,SELL,322.0,303.72
141,2022-06-05,MRK,BUY,439.0,449.67
142,2021-06-13,BAC,SELL,252.0,227.08
143,2022-08-28,AAPL,SELL,262.0,134.73
144,2021-01-30,AMD,BUYY,235.0,215.86
145,2021-07-11,PEP,BUY,429.0,219.27
146,2022-05-13,MSFT,BUY,116.0,271.61
147,2021-05-17,TSLA,SELL,297.0,55.64
148,2022-04-29,NVDA,SELL,,389.18
149,2022-10-22,IBM,SELL,353.0,168.19
150,2021-03-31,NFLX,SELL,277.0,219.95
151,2022-08-20,TGT,BUY,44.0,396.22
152,2021-11-12,META,SELL,408.0,397.29
153,2021-04-17,NVDA,BUY,257.0,166.5
154,2022-02-16,IBM,BUY,489.0,435.36
155,2021-04-26,CSCO,BUY,331.0,90.75
156,2021-01-12,AMD,BUYY,0.0,108.29
157,2021-08-04,KO,SELL,401.0,238.61
158,2022-08-24,TSLA,BUY,322.0,206.77
159,2022-08-15,UPS,BUY,107.0,58.51
160,2022-07-30,TGT,BUY,173.0,172.17
161,2021-03-25,AMAT,BUY,156.0,212.7
162,2022-10-30,MRK,BUY,393.0,264.68
163,2021-12-29,NVDA,BUY,62.0,161.57
164,2022-05-28,INTC,BUY,160.0,373.54
165,2021-02-16,AVGO,SELL,184.0,421.38
166,2021-01-25,JPM,SELL,53.0,146.63
167,2022-06-15,KO,SELL,242.0,479.53
168,2021-07-19,META,BUYY,187.0,256.6
169,2021-11-27,MSFT,SELL,85.0,187.36
170,2021-07-10,NVDA,BUY,162.0,172.43
171,2021-05-26,PYPL,BUY,453.0,314.13
172,2022-11-23,AMAT,BUY,305.0,361.74
173,2022-08-24,TSLA,BUY,489.0,177.52
174,2022-08-14,KO,SELL,403.0,437.91
175,2022-01-19,CSCO,SELL,103.0,170.62
176,2022-01-22,NVDA,BUY,322.0,82.79
177,2022-04-11,HON,SELL,235.0,385.28
178,2022-09-18,PYPL,SELL,231.0,221.15
179,2021-09-16,IBM,BUY,463.0,250.88
