date,ticker,open,high,low,close,volume
2021-01-01,AAPL,141.77,144.59,141.34,141.91,4852219.0
2021-01-02,AAPL,146.01,148.04,144.67,146.34,1232267.0
2021-01-03,AAPL,143.79,143.88,140.75,142.75,3742555.0
2021-01-04,AAPL,141.6,142.98,140.16,142.35,450325.0
2021-01-05,AAPL,146.26,146.95,142.91,144.26,2330027.0
2021-01-06,AAPL,146.2,149.05,142.72,143.06,4916393.0
2021-01-07,AAPL,146.45,150.61,145.35,149.37,4811653.0
2021-01-08,AAPL,142.14,143.8,142.01,142.09,3847122.0
2021-01-09,AAPL,142.13,142.87,140.0,141.36,4887975.0
2021-01-10,AAPL,145.18,,142.3,143.93,4495580.0
2021-01-11,AAPL,144.24,146.9,141.85,144.42,-435106.0
2021-01-12,AAPL,139.48,142.31,137.22,138.14,3231031.0
2021-01-13,AAPL,140.8,141.34,136.73,137.62,2061534.0
2021-01-14,AAPL,147.66,148.06,142.72,144.19,2246771.0
2021-01-15,AAPL,138.84,141.08,132.73,135.06,640080.0
2021-01-16,AAPL,146.98,147.53,142.12,143.82,1011664.0
2021-01-17,AAPL,147.48,151.66,146.79,150.56,2745591.0
2021-01-18,AAPL,144.16,144.18,140.74,142.16,2708167.0
2021-01-19,AAPL,140.04,142.91,137.91,142.13,4926445.0
2021-01-20,AAPL,145.26,146.46,142.53,144.21,2351270.0
2021-01-21,AAPL,138.33,141.8,137.24,,2484821.0
2021-01-22,AAPL,147.26,152.77,144.96,150.58,2576499.0
2021-01-23,AAPL,141.59,145.68,141.43,142.98,1677333.0
2021-01-24,AAPL,146.19,150.0,143.89,148.88,2289085.0
2021-01-25,AAPL,147.29,149.23,145.63,147.66,2673918.0
2021-01-26,AAPL,138.11,138.81,132.03,134.86,4879673.0
2021-01-27,AAPL,140.72,141.66,139.44,141.46,4849043.0
2021-01-28,AAPL,139.34,140.45,138.85,140.28,2375071.0
2021-01-29,AAPL,147.76,151.5,146.28,149.66,4166218.0
2021-01-30,AAPL,147.2,147.22,145.35,146.68,2563667.0
2021-01-31,AAPL,141.6,144.86,139.89,142.86,1019580.0
2021-02-01,AAPL,140.06,142.82,135.26,136.22,1539158.0
2021-02-02,AAPL,144.18,148.67,141.42,146.93,2755994.0
2021-02-03,AAPL,146.13,152.43,143.4,149.57,3094651.0
2021-02-04,AAPL,143.06,145.77,140.69,141.89,797504.0
2021-02-05,AAPL,142.18,142.58,138.69,140.71,4274213.0
2021-02-06,AAPL,139.94,143.68,138.46,142.06,2740252.0
2021-02-07,AAPL,147.8,148.54,145.63,146.0,160816.0
2021-02-08,AAPL,138.82,139.44,135.65,137.81,1168875.0
2021-02-09,AAPL,141.42,142.46,136.92,139.11,1551836.0
2021-02-10,AAPL,146.85,150.35,145.45,147.43,2909768.0
2021-02-11,AAPL,145.22,147.82,140.73,142.38,4832803.0
2021-02-12,AAPL,146.25,147.85,144.44,145.67,2332987.0
2021-02-13,AAPL,138.64,139.92,135.94,139.54,4583806.0
2021-02-14,AAPL,141.81,145.87,139.81,143.16,1809754.0
2021-02-15,AAPL,141.04,142.7,140.16,140.72,3106709.0
2021-02-16,AAPL,143.81,146.77,142.51,144.85,2874252.0
2021-02-17,AAPL,140.22,141.89,138.81,138.81,4299895.0
2021-02-18,AAPL,142.22,145.06,137.31,139.12,1041955.0
2021-02-19,AAPL,139.09,140.39,135.9,137.2,1882871.0
2021-02-20,AAPL,140.79,143.95,140.51,142.0,3441663.0
2021-02-21,AAPL,142.08,144.44,140.04,144.17,3614152.0
2021-02-22,AAPL,143.9,149.04,143.68,147.36,848476.0
2021-02-23,AAPL,139.41,145.39,138.58,142.94,4313784.0
2021-02-24,AAPL,147.76,149.98,145.14,145.94,2693562.0
2021-02-25,AAPL,143.42,144.06,139.53,140.05,1802091.0
2021-02-26,AAPL,146.82,151.45,146.56,150.61,-132012.0
2021-02-27,AAPL,144.47,149.02,142.45,147.61,2531885.0
2021-02-28,AAPL,145.73,148.02,144.36,146.22,4272430.0
2021-03-01,AAPL,140.53,144.5,140.33,142.21,2879922.0
2021-03-02,AAPL,142.72,145.24,139.79,145.03,3101013.0
2021-03-03,AAPL,144.54,146.27,142.61,145.85,1577258.0
2021-03-04,AAPL,141.82,142.45,138.96,142.4,4107489.0
2021-03-05,AAPL,141.46,146.52,141.07,144.26,3549189.0
2021-03-06,AAPL,143.96,146.88,139.61,141.21,4599854.0
2021-03-07,AAPL,138.86,138.92,137.27,138.55,2824641.0
2021-03-08,AAPL,140.78,146.4,139.91,144.02,4483307.0
2021-03-09,AAPL,140.57,137.89,144.3,143.59,1988400.0
2021-03-10,AAPL,147.8,152.42,147.71,151.56,3906109.0
2021-03-11,AAPL,147.26,152.59,145.93,149.98,1030714.0
2021-03-12,AAPL,138.51,140.89,135.76,137.01,1402828.0
2021-03-13,AAPL,143.63,144.3,139.21,140.52,3552449.0
2021-03-14,AAPL,142.8,143.15,139.92,142.64,4576680.0
2021-03-15,AAPL,145.31,149.29,143.13,146.31,443648.0
2021-03-16,AAPL,146.22,146.57,145.25,146.56,699057.0
2021-03-17,AAPL,146.45,149.26,143.67,147.03,629114.0
2021-03-18,AAPL,140.02,142.82,135.38,137.47,4342077.0
2021-03-19,AAPL,140.35,144.08,139.67,141.28,4250168.0
2021-03-20,AAPL,141.1,143.94,140.62,142.04,1198917.0
2021-03-21,AAPL,147.41,148.14,142.84,144.96,4816503.0
2021-03-22,AAPL,139.24,142.43,138.94,142.31,3917318.0
2021-03-23,AAPL,148.1,148.75,145.98,147.29,1085837.0
2021-03-24,AAPL,143.87,146.49,140.84,141.14,425295.0
2021-03-25,AAPL,141.47,143.34,136.38,138.09,3375341.0
2021-03-26,AAPL,143.48,148.55,143.39,146.12,4355448.0
2021-03-27,AAPL,144.25,146.61,141.67,145.59,2365377.0
2021-03-28,AAPL,142.25,146.58,139.7,145.08,3581246.0
2021-03-29,AAPL,142.27,142.63,138.54,140.21,3279473.0
2021-03-30,AAPL,143.95,146.22,139.29,140.34,755651.0
2021-03-31,AAPL,142.08,144.17,139.95,141.33,2687702.0
2021-04-01,AAPL,144.76,145.2,142.06,144.12,1318523.0
2021-04-02,AAPL,144.74,146.72,142.94,143.23,2014050.0
2021-04-03,AAPL,139.62,141.16,135.64,136.15,563873.0
2021-04-04,AAPL,140.42,144.66,138.59,142.07,4766809.0
2021-04-05,AAPL,140.28,143.51,137.61,143.18,365966.0
2021-04-06,AAPL,138.9,140.32,136.1,136.24,4635222.0
2021-04-07,AAPL,140.63,141.05,138.42,140.63,2818812.0
2021-04-08,AAPL,145.54,147.63,140.27,142.75,1208982.0
2021-04-09,AAPL,143.15,146.36,141.54,145.29,3029268.0
2021-04-10,AAPL,144.12,146.48,142.99,144.46,2199534.0
2021-04-11,AAPL,143.61,146.04,138.15,139.87,164069.0
2021-04-12,AAPL,142.14,145.5,142.1,143.25,366741.0
2021-04-13,AAPL,146.14,149.0,141.63,143.04,2356155.0
2021-04-14,AAPL,141.16,142.37,138.09,140.1,4061595.0
2021-04-15,AAPL,146.46,146.93,143.4,144.81,1951998.0
2021-04-16,AAPL,139.79,142.38,136.01,137.21,3885715.0
2021-04-17,AAPL,145.22,148.93,144.03,147.17,1128113.0
2021-04-18,AAPL,140.26,141.06,138.69,139.2,4872864.0
2021-04-19,AAPL,145.38,145.44,142.7,143.33,4207150.0
2021-04-20,AAPL,141.6,142.98,140.32,141.63,374785.0
2021-04-21,AAPL,144.95,151.24,142.89,148.83,879606.0
2021-04-22,AAPL,138.72,140.2,136.33,139.75,4994115.0
2021-04-23,AAPL,145.05,148.12,144.82,145.98,3974893.0
2021-04-24,AAPL,147.96,153.82,147.2,151.89,557636.0
2021-04-25,AAPL,142.82,146.88,142.42,145.46,1366898.0
2021-04-26,AAPL,141.7,145.67,141.07,143.28,1161585.0
2021-04-27,AAPL,140.44,141.97,140.39,140.6,2283815.0
